anime_id,title,type,source,episodes,rating,score,popularity,members,favorites,studio,duration_min,aired_from_year,prem_season,Comedy,Supernatural,Romance,Shounen,Parody,School,Magic,Shoujo,Drama,Fantasy,Kids,Action,Music,SliceofLife,Josei,Harem,ShounenAi,Adventure,SuperPower,Sci-Fi,Ecchi,Seinen,MartialArts,Game,Sports,Demons,Historical,Horror,Mystery,Psychological,Vampire,Mecha,Military,Space,Samurai,Thriller,Hentai,Yaoi,ShoujoAi,Police,Cars,Dementia,Yuri
11013,Inu x Boku SS,TV,Manga,12,PG-13 - Teens 13 or older,7.63,231,283882,2809,David Production,24.0,2012.0,Spring,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2104,Seto no Hanayome,TV,Manga,26,PG-13 - Teens 13 or older,7.89,366,204003,2579,Gonzo,24.0,2007.0,Summer,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5262,Shugo Chara!! Doki,TV,Manga,51,PG - Children,7.55,1173,70127,802,Satelight,24.0,2008.0,Winter,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
721,Princess Tutu,TV,Original,38,PG-13 - Teens 13 or older,8.21,916,93312,3344,Hal Film Maker,16.0,2002.0,Fall,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12365,Bakuman. 3rd Season,TV,Manga,25,PG-13 - Teens 13 or older,8.67,426,182765,2082,J.C.Staff,24.0,2012.0,Winter,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
178,Ultra Maniac,TV,Manga,26,G - All Ages,7.26,2490,22778,122,Production Reed,24.0,2003.0,Summer,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2787,Shakugan no Shana II (Second),TV,Light novel,24,PG-13 - Teens 13 or older,7.72,332,220591,1075,J.C.Staff,24.0,2007.0,Winter,False,True,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4477,Nodame Cantabile: Paris-hen,TV,Manga,11,PG-13 - Teens 13 or older,8.24,988,85660,282,J.C.Staff,23.0,2008.0,Winter,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
853,Ouran Koukou Host Club,TV,Manga,26,PG-13 - Teens 13 or older,8.34,69,538843,24072,Bones,23.0,2006.0,Summer,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4814,Junjou Romantica 2,TV,Manga,12,PG-13 - Teens 13 or older,8.15,799,108186,1123,Studio Deen,24.0,2008.0,Winter,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7054,Kaichou wa Maid-sama!,TV,Manga,26,PG-13 - Teens 13 or older,8.2,71,531292,14436,J.C.Staff,24.0,2010.0,Summer,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11123,Sekaiichi Hatsukoi 2,TV,Manga,12,PG-13 - Teens 13 or older,8.23,945,89543,726,Studio Deen,24.0,2011.0,Winter,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14227,Tonari no Kaibutsu-kun,TV,Manga,13,PG-13 - Teens 13 or older,7.71,88,482105,4064,Brain&#039;s Base,24.0,2012.0,Winter,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
269,Bleach,TV,Manga,366,PG-13 - Teens 13 or older,7.9,18,819284,40718,Studio Pierrot,24.0,2004.0,Winter,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,Chobits,TV,Manga,26,PG-13 - Teens 13 or older,7.53,188,317641,3271,Madhouse,24.0,2002.0,Summer,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6045,Kimi ni Todoke,TV,Manga,25,PG-13 - Teens 13 or older,8.13,111,417136,8041,Production I.G,22.0,2009.0,Winter,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1735,Naruto: Shippuuden,TV,Manga,500,PG-13 - Teens 13 or older,8.18,20,794112,42846,Studio Pierrot,23.0,2007.0,Spring,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
210,Ranma ½,TV,Manga,161,R+ - Mild Nudity,7.85,623,134537,2742,Studio Deen,24.0,1989.0,Summer,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4224,Toradora!,TV,Light novel,25,PG-13 - Teens 13 or older,8.39,13,910373,35322,J.C.Staff,24.0,2008.0,Winter,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10030,Bakuman. 2nd Season,TV,Manga,25,PG-13 - Teens 13 or older,8.49,374,201720,1023,J.C.Staff,24.0,2011.0,Winter,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,Gakuen Alice,TV,Manga,26,G - All Ages,7.77,1291,62951,1403,Group TAC,25.0,2004.0,Winter,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4722,Skip Beat!,TV,Manga,25,PG-13 - Teens 13 or older,8.24,488,164738,4668,Hal Film Maker,24.0,2008.0,Winter,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14397,Chihayafuru 2,TV,Manga,25,PG-13 - Teens 13 or older,8.47,757,114340,1116,Madhouse,22.0,2013.0,Spring,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1557,Shounen Onmyouji,TV,Light novel,26,PG-13 - Teens 13 or older,7.68,1793,39422,274,Studio Deen,23.0,2006.0,Winter,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10800,Chihayafuru,TV,Manga,25,PG-13 - Teens 13 or older,8.29,348,213902,4524,Madhouse,22.0,2011.0,Winter,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3731,Itazura na Kiss,TV,Manga,25,PG-13 - Teens 13 or older,7.7,473,170224,2632,TMS Entertainment,24.0,2008.0,Summer,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5835,Hanasakeru Seishounen,TV,Manga,39,PG-13 - Teens 13 or older,7.87,1654,44633,500,Studio Pierrot,24.0,2009.0,Summer,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9863,SKET Dance,TV,Manga,77,PG-13 - Teens 13 or older,8.33,646,130264,2474,Tatsunoko Production,24.0,2011.0,Summer,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,Fruits Basket,TV,Manga,26,PG-13 - Teens 13 or older,7.77,222,292572,7579,Studio Deen,24.0,2001.0,Fall,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
957,Saiunkoku Monogatari,TV,Light novel,39,PG-13 - Teens 13 or older,8.04,1313,61739,1059,Madhouse,25.0,2006.0,Summer,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1974,Glass no Kamen (2005),TV,Manga,51,G - All Ages,8.18,2523,22123,365,Tokyo Movie Shinsha,25.0,2005.0,Summer,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
857,Air Gear,TV,Manga,25,R+ - Mild Nudity,7.64,297,235764,3254,Toei Animation,24.0,2006.0,Summer,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1914,Saiunkoku Monogatari 2nd Season,TV,Light novel,39,PG-13 - Teens 13 or older,8.16,2233,27481,201,Madhouse,25.0,2007.0,Summer,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
